YearOlympic,OlympicName,OlympicCountry,OlympicCity,WinnerName,WinnerNationality,WinnerDateBirth,WinnerGender,Sport,Discipline,Medal
2008,2008 Summergames Beijing,China,Beijing,Michael Phelps,United States,06-30-1985,Man,Swimming,400m medley,Gold
2008,2008 Summergames Beijing,China,Beijing,Michael Phelps,United States,06-30-1985,Man,Swimming,100m butterfly,Gold
2008,2008 Summergames Beijing,China,Beijing,Michael Phelps,United States,06-30-1985,Man,Swimming,200m butterfly,Gold
2008,2008 Summergames Beijing,China,Beijing,Michael Phelps,United States,06-30-1985,Man,Swimming,200m freestyle,Gold
2008,2008 Summergames Beijing,China,Beijing,Michael Phelps,United States,06-30-1985,Man,Swimming,200m medley,Gold
2008,2008 Summergames Beijing,China,Beijing,Michael Phelps,United States,06-30-1985,Man,Swimming,4 x 100m freestyle relay,Gold
2008,2008 Summergames Beijing,China,Beijing,Michael Phelps,United States,06-30-1985,Man,Swimming,4 x 200m freestyle relay,Gold
2008,2008 Summergames Beijing,China,Beijing,Michael Phelps,United States,06-30-1985,Man,Swimming,4 x 100m medley relay,Gold
2008,2008 Summergames Beijing,China,Beijing,Stephanie Rice,Australia,NULL,Woman,Swimming,200m medley,Gold
2008,2008 Summergames Beijing,China,Beijing,Stephanie Rice,Australia,NULL,Woman,Swimming,400m medley,Gold
2008,2008 Summergames Beijing,China,Beijing,Stephanie Rice,Australia,NULL,Woman,Swimming,4 x 200m freestyle relay,Gold
2008,2008 Summergames Beijing,China,Beijing,Usain Bolt,Jamaica,NULL,Man,Athletics,100 metres,Gold
2008,2008 Summergames Beijing,China,Beijing,Usain Bolt,Jamaica,NULL,Man,Athletics,200 metres,Gold
2008,2008 Summergames Beijing,China,Beijing,Usain Bolt,Jamaica,NULL,Man,Athletics,4 x 100 m relay,Gold
2008,2008 Summergames Beijing,China,Beijing,Chris Hoy,Great Britain,NULL,Man,Cycling,Keirin,Gold
2008,2008 Summergames Beijing,China,Beijing,Chris Hoy,Great Britain,NULL,Man,Cycling,Sprint,Gold
2008,2008 Summergames Beijing,China,Beijing,Chris Hoy,Great Britain,NULL,Man,Cycling,Olympic sprint,Gold
2008,2008 Summergames Beijing,China,Beijing,Zou Kai,China,NULL,Man,Gymnastics,Horizontal bar,Gold
2008,2008 Summergames Beijing,China,Beijing,Zou Kai,China,NULL,Man,Gymnastics,Floor,Gold
2008,2008 Summergames Beijing,China,Beijing,Zou Kai,China,NULL,Man,Gymnastics,Team all-around,Gold
2008,2008 Summergames Beijing,China,Beijing,Libby Trickett,Australia,NULL,Woman,Swimming,100m butterfly,Gold
2008,2008 Summergames Beijing,China,Beijing,Libby Trickett,Australia,NULL,Woman,Swimming,4 x 100m medley relay,Gold
2008,2008 Summergames Beijing,China,Beijing,Libby Trickett,Australia,NULL,Woman,Swimming,100m freestyle,Silver
2008,2008 Summergames Beijing,China,Beijing,Libby Trickett,Australia,NULL,Woman,Swimming,4 x 100m freestyle relay,Broze
2008,2008 Summergames Beijing,China,Beijing,Leisel Jones,Australia,NULL,Woman,Swimming,100m breaststroke,Gold
2008,2008 Summergames Beijing,China,Beijing,Leisel Jones,Australia,NULL,Woman,Swimming,4 x 100m medley relay,Gold
2008,2008 Summergames Beijing,China,Beijing,Leisel Jones,Australia,NULL,Woman,Swimming,200m breaststroke,Silver
2008,2008 Summergames Beijing,China,Beijing,Matt Grevers,United States,NULL,Man,Swimming,4 x 100m freestyle relay,Gold
2008,2008 Summergames Beijing,China,Beijing,Matt Grevers,United States,NULL,Man,Swimming,4 x 100m medley relay,Gold
2008,2008 Summergames Beijing,China,Beijing,Matt Grevers,United States,NULL,Man,Swimming,100m backstroke,Silver
2008,2008 Summergames Beijing,China,Beijing,Aaron Peirsol,United States,NULL,Man,Swimming,100m backstroke,Gold
2008,2008 Summergames Beijing,China,Beijing,Aaron Peirsol,United States,NULL,Man,Swimming,4 x 100m medley relay,Gold
